id,video_id,category_id,genre,keyword,comment,likes
1,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","our latest album " Moment Of Harmony" just released - https://www.youtube.com/watch?v=M7pv9sTUVLY ",46
2,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","To anybody who's reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind. May clarity replace confusion. May peace and calmness fill your life. ",37000
3,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I swear whenever I read Lofi video comments, I realize that the Lofi community is the best community, people are so nice, and I believe that peace exists here. I love you all guys",157
4,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I dont know why but the japanese ones hit the best while studying
Peace to everyone whos reading this",786
5,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I may be late commenting on this video and maybe no one will see this comment, but I come here every morning and every day because of my depression. This soothing music helped me a lot. I just wanted to say thank you for letting me get through the hard times.",518
6,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","thank you guys for 1.000.000 views, absolutely mindblowing how well our music is received, especially because we tried to get feedback on our tracks from bigger names, and somehow they were never happy with our music, so instead of trying to make them happy, we went our own way and hope we can make a bit of a difference. Btw. Our new album is almost done -scheduled for early January - so thank you everyone for just listening, means a lot to us!
- Deebu",297
7,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","As a programmer, I can't code without music. It's the perfect partner to help me stay focused, motivated, and inspired. So, a big thank you to all the talented musicians out there for providing the soundtrack to my coding journey. Your work makes a difference! ",113
8,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","We can't change the past but we can learn from it. Music like this helps heal our souls.",75
9,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I wanted to take a moment to express my heartfelt gratitude for this beautiful piece of art you've shared with us. Your Japanese lofi video is incredibly soothing and inspiring. It's a true delight for the senses, offering a serene escape from the hustle and bustle of everyday life. Thank you for your dedication in creating such a masterpiece that brings so much peace and tranquility to our lives. Please know that your efforts are deeply appreciated.",2
10,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","For anyone who comes across this message, my sincerest hope is that any pain you're experiencing and those persistent sources of stress find their path to healing. May the shadows of negative thoughts, the ceaseless cycles of overthinking, and the clouds of doubt disperse from your mind. May a sense of lucidity take the place of confusion. Let tranquility and serenity flow into your life like a gentle stream.",15
11,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","The lofi community is probably the most chilled community ever to exist cause everyone's just vibin",15
12,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I've never personally commented on a video before this but seeing this outpouring of love and compassion is genuinely refreshing. I appreciate this..",23
13,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","To the people who post uplifting comments, you are a hero!",7
14,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","Sensational, hypnotic, meditative, transcendent, beautiful... I could make a list a mile long!! Fantastic talent right here, y'all!! Hope to see much more from you!! ️",54
15,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I've had flow of time on loop for days now. I have written 9 pages of lyrics straight. You may be the inspiration to be the musician I always wanted to be. Thank you.",130
16,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","Listening to this while sitting in front of a glass window, watching the rain outside it’s so calm and peaceful thanks for the music.",290
17,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","They're all beautifully done. But that Kinou one hits my heart on a different level. So peaceful!",34
18,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","The absolute best lofi collection I've ever come across on the internet so far. Have a great life everyone.",87
19,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","thank you so much... really a work of art. ありがとう。すばらしいです。",4
20,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","This is one of the BEST mixes i have EVER found and ive been on lofi for years now keep up the GREAT AND IMPORTANT WORK! Be well, and BLESS YOU!",22
21,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","there's a ton of lofi channels out there now, but when you watch/listen enough, you can tell when a collection is particularly exquisite. This is one of those that stand out. I love the gentle hint of Asian element, it's integrated so well. Very lovely!",6
22,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I had to come back and re-listen to this awesome release. I'm feeling so hype right now and this music captures those feelings! HAPPY FRIDAY EVERYONE!!!!",10
23,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","Sounds like my childhood is escaping through my fingers as I grow older, but the nostalgia remain the same.",71
24,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","You should really make more music. There is a sense of calm and peace in the songs, thank you for the mixes ",18
25,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I barely see art anymore but the fact that one person drew an impressive landscape and even made some live effects, its just super cool and I hope more people discover these talented guys ",24
26,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","One of the best playlists available on YouTube.",5
27,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7",京都を歩きながらこれを聞くのが大好きだ素晴らしい！,1
28,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","I found you on Spotify... thank you for having prepared this small piece of zen garden.",20
29,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","Honey for the soul ️ allow this music put all who see this message at ease just breathe",5
30,8kCMHA,4,Lo-fi,"Lo-fi study music_EtD7","This is definitely going bro be saved for future listening. Such a beautiful mix.",11
